id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,"The SLA xử lý ticket P1 đã thay đổi theo phiên bản v2026.1, giảm thời gian xử lý và khắc phục từ 6 giờ xuống 4 giờ [2].","Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",,"Lỗi chấm điểm: Error code: 401 - {'error': {'message': ""You have insufficient permissions for this operation. Missing scopes: model.request. Check that you have the correct role in your organization (Reader, Writer, Owner) and project (Member, Owner), and if you're using a restricted API key, that it has the necessary scopes."", 'type': 'invalid_request_error', 'param': None, 'code': 'missing_scope'}}",,"Lỗi chấm điểm: Error code: 401 - {'error': {'message': ""You have insufficient permissions for this operation. Missing scopes: model.request. Check that you have the correct role in your organization (Reader, Writer, Owner) and project (Member, Owner), and if you're using a restricted API key, that it has the necessary scopes."", 'type': 'invalid_request_error', 'param': None, 'code': 'missing_scope'}}",5,Retrieved: 1/1 expected sources,5,"Answer nêu đúng rằng SLA P1 đã giảm từ 6 giờ xuống 4 giờ trong v2026.1, khớp đầy đủ ý chính của Expected Answer.",dense
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?","Theo [2], giới hạn số thiết bị kết nối VPN là không được vượt quá 2 thiết bị cùng một lúc cho mỗi tài khoản.","Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,Câu trả lời khớp hoàn toàn với Context Chunk 2: mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc.,5,"Câu trả lời trực tiếp nêu rõ giới hạn tối đa là 2 thiết bị cùng lúc, đúng trọng tâm câu hỏi.",5,Retrieved: 2/2 expected sources,5,"Answer nêu đúng giới hạn tối đa 2 thiết bị cùng lúc cho mỗi tài khoản, khớp với ý chính trong Expected Answer. Chỉ thiếu chi tiết phụ rằng VPN là bắt buộc khi làm việc remote và tên phần mềm Cisco AnyConnect.",dense
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,"Không, đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm không được hoàn tiền [1].",Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,Câu trả lời khớp hoàn toàn với Context: Flash Sale là ngoại lệ không được hoàn tiền và sản phẩm đã được kích hoạt cũng không được hoàn tiền.,5,Câu trả lời trực tiếp trả lời đúng trọng tâm câu hỏi và nhất quán với nội dung được hỏi.,5,Retrieved: 1/1 expected sources,5,Answer khớp đầy đủ với Expected Answer: nêu rõ không được hoàn tiền và bao gồm cả hai điều kiện ngoại lệ là Flash Sale và sản phẩm đã kích hoạt.,dense
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?",Bạn có thể chọn store credit thay vì hoàn tiền và sẽ nhận về 110% so với số tiền gốc. [1],"Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,Câu trả lời khớp hoàn toàn với Context: khách hàng có thể chọn store credit thay vì hoàn tiền và giá trị là 110% số tiền hoàn.,5,"Câu trả lời trực tiếp nêu đúng tỷ lệ store credit so với số tiền gốc (110%), khớp trọng tâm câu hỏi.",5,Retrieved: 1/1 expected sources,5,"Answer nêu đúng rằng store credit có giá trị 110% so với số tiền gốc, khớp đầy đủ với Expected Answer.",dense
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?",Công nghệ không thiết lập quyền Admin Access cho nhân viên bên ngoài công ty. Yêu cầu đặc biệt là training về chính sách an ninh [1].,"Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",2,"Câu trả lời có một phần đúng là Level 4 yêu cầu training về security policy, nhưng chi tiết 'công nghệ không thiết lập quyền Admin Access cho nhân viên bên ngoài công ty' không có trong Context và bị suy diễn thêm.",4,"Trả lời đúng ý chính là contractor bên ngoài không được cấp Admin Access; tuy nhiên chưa trả lời rõ phần 'nếu có' về số ngày, nên còn thiếu một chi tiết quan trọng.",5,Retrieved: 1/1 expected sources,2,"Answer chỉ nói contractor không được cấp Admin Access và có yêu cầu training, nhưng bỏ sót các ý quan trọng: thực tế có thể áp dụng cho contractor/third-party vendor, cần phê duyệt IT Manager và CISO, và thời gian xử lý 5 ngày làm việc.",dense
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Quy trình cấp quyền tạm thời cho on-call engineer khi gặp sự cố P1 như sau [1]:

1. On-call IT Admin yêu cầu Tech Lead phê duyệt bằng lời.
2. Tech Lead có thể cấp quyền tạm thời, tối đa 24 giờ.
3. Quyền này được ghi log vào hệ thống Security Audit.

Quyền tạm thời tồn tại tối đa 24 giờ sau khi được cấp [1].","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,"Answer khớp hoàn toàn với Context: đúng quy trình escalation khẩn cấp, đúng vai trò On-call IT Admin và Tech Lead phê duyệt bằng lời, đúng giới hạn tối đa 24 giờ, và đúng yêu cầu ghi log vào Security Audit.",4,"Trả lời đúng trọng tâm về quy trình cấp quyền tạm thời và thời hạn 24 giờ, nhưng có vẻ tự ý thêm chi tiết/phân vai (on-call IT Admin, Tech Lead, Security Audit) mà câu hỏi không nêu rõ.",5,Retrieved: 2/2 expected sources,5,"Answer bao phủ đầy đủ các ý chính: cần Tech Lead phê duyệt bằng lời, quyền tạm thời tối đa 24 giờ, và phải ghi log vào Security Audit. Không có thiếu sót quan trọng nào so với Expected Answer.",dense
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,"Không có thông tin chi tiết về mức phạt nếu team IT vi phạm cam kết SLA P1. Tuy nhiên, chúng ta biết rằng ticket P1 yêu cầu xử lý và khắc phục trong 4 giờ [2].","Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",5,"Câu trả lời chỉ nêu rằng ticket P1 có thời gian xử lý và khắc phục là 4 giờ, điều này khớp trực tiếp với Context. Nhận định 'không có thông tin chi tiết về mức phạt' cũng phù hợp vì Context không đề cập đến mức phạt.",4,"Trả lời đúng trọng tâm là chưa có thông tin mức phạt, nhưng có bổ sung chi tiết về thời gian xử lý SLA P1 nên còn thiếu trực tiếp câu trả lời cụ thể.",,No expected sources,5,Answer khớp với Expected Answer ở ý chính: không có thông tin về mức phạt/penalty khi vi phạm SLA P1 và chỉ nêu thời gian xử lý 4 giờ. Không thiếu ý quan trọng nào.,dense
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Theo chính sách nghỉ phép năm:

Nhân viên phải báo trước ít nhất 3 ngày làm việc để xin nghỉ phép (Bước 1 của quy trình [2]).

Đối với nghỉ ốm, cần thông báo cho Line Manager trước 9:00 sáng ngày nghỉ (Section 1.2 Nghỉ ốm của [1]).",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,5,Tất cả thông tin trong Answer đều được nêu rõ trong Context: quy trình xin nghỉ phép cần báo trước ít nhất 3 ngày làm việc và nghỉ ốm phải thông báo trước 9:00 sáng ngày nghỉ.,5,"Trả lời trực tiếp đúng hai ý trong প্রশ্ন: nêu số ngày báo trước để xin nghỉ phép năm và so sánh với yêu cầu khi nghỉ ốm, dù không nêu rõ là hai con số này không giống nhau.",5,Retrieved: 1/1 expected sources,4,"Answer nêu đúng nghỉ phép năm phải báo trước ít nhất 3 ngày làm việc, và cũng nêu nghỉ ốm là một mốc khác. Tuy nhiên, phần nghỉ ốm chưa đúng với Expected Answer: thiếu ý rằng chỉ khi nghỉ trên 3 ngày liên tiếp mới cần giấy tờ y tế từ bệnh viện, và thay vào đó lại nói về việc báo cho Line Manager trước 9:00 sáng.",dense
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Mật khẩu tài khoản công ty cần thay đổi định kỳ [1]. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn [1], và đổi qua portal SSO [1].

Trích dẫn từ trang support/helpdesk-faq.md, Section 1: Tài khoản và mật khẩu.","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",4,"Phần nội dung về việc mật khẩu phải thay đổi định kỳ và hệ thống nhắc trước 7 ngày đều khớp với Context. Tuy nhiên, cụm 'đổi qua portal SSO' là diễn đạt suy ra từ việc tự reset qua portal SSO, không được nêu trực tiếp là cách đổi mật khẩu bắt buộc.",5,"Trả lời trực tiếp đúng trọng tâm: có đổi định kỳ, nhắc trước 7 ngày và đổi qua portal SSO.",5,Retrieved: 1/1 expected sources,4,"Answer nêu đúng việc cần đổi định kỳ, nhắc trước 7 ngày và đổi qua portal SSO. Tuy nhiên thiếu chi tiết quan trọng về chu kỳ 90 ngày và không nêu rõ URL/đường liên hệ Helpdesk.",dense
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,"Căn cứ vào Context [1], chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt vào hoặc sau ngày 01/02/2026. Các đơn hàng đặt trước ngày đó sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.

Trả lời câu hỏi: Không.

Nguồn: [1] policy/refund-v4.pdf",Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,Câu trả lời chỉ lặp lại đúng thông tin trong Context [1] về ngày hiệu lực 01/02/2026 và việc đơn hàng trước đó áp dụng phiên bản 3; không có chi tiết nào mâu thuẫn hay vượt quá ngữ cảnh.,5,"Trả lời đúng trọng tâm câu hỏi: xác nhận chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước 01/02/2026, mà áp dụng cho đơn từ ngày đó trở đi.",5,Retrieved: 1/1 expected sources,5,Answer khớp đầy đủ với Expected Answer: nêu rõ chính sách hoàn tiền hiện tại chỉ áp dụng cho đơn hàng từ 01/02/2026 trở đi và đơn hàng trước ngày này dùng phiên bản 3.,dense
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,SLA xử lý ticket P1 đã thay đổi từ 6 giờ xuống 4 giờ [1].,"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,Câu trả lời khớp hoàn toàn với Context: Chunk 1 nêu rõ v2026.1 cập nhật SLA P1 resolution từ 6 giờ xuống 4 giờ.,5,"Trả lời trực tiếp đúng trọng tâm câu hỏi, nêu rõ sự thay đổi SLA của ticket P1 so với phiên bản trước.",5,Retrieved: 1/1 expected sources,5,"Answer nêu đúng thay đổi SLA P1 từ 6 giờ xuống 4 giờ, khớp với Expected Answer và không thiếu ý quan trọng nào.",hybrid_50_50
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?",The policy allows using VPN and connecting from up to **2 devices** per account simultaneously [2].,"Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",,"Lỗi chấm điểm: Error code: 401 - {'error': {'message': ""You have insufficient permissions for this operation. Missing scopes: model.request. Check that you have the correct role in your organization (Reader, Writer, Owner) and project (Member, Owner), and if you're using a restricted API key, that it has the necessary scopes."", 'type': 'invalid_request_error', 'param': None, 'code': 'missing_scope'}}",5,Câu trả lời trực tiếp nêu đúng nội dung được hỏi: khi làm remote có thể dùng VPN và tối đa 2 thiết bị.,5,Retrieved: 2/2 expected sources,5,"Answer nêu đúng giới hạn tối đa 2 thiết bị cùng lúc qua VPN, khớp với ý chính của Expected Answer. Dù không nhắc VPN là bắt buộc hay Cisco AnyConnect, thông tin cốt lõi về số thiết bị đã đầy đủ.",hybrid_50_50
