id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,"SLA xử lý ticket P1 đã thay đổi từ v2025.1 (2025-03-01):

- Phản hồi ban đầu và thông báo stakeholder không thay đổi.
- Xử lý và khắc phục được giảm từ 6 giờ xuống 4 giờ [2].
- Quy trình escalation tự động được thêm vào [2].

Nội dung cụ thể thay đổi được mô tả trong file [1] phần Lịch sử phiên bản.","Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",,"Lỗi chấm điểm: Error code: 401 - {'error': {'message': ""You have insufficient permissions for this operation. Missing scopes: model.request. Check that you have the correct role in your organization (Reader, Writer, Owner) and project (Member, Owner), and if you're using a restricted API key, that it has the necessary scopes."", 'type': 'invalid_request_error', 'param': None, 'code': 'missing_scope'}}",,"Lỗi chấm điểm: Error code: 401 - {'error': {'message': ""You have insufficient permissions for this operation. Missing scopes: model.request. Check that you have the correct role in your organization (Reader, Writer, Owner) and project (Member, Owner), and if you're using a restricted API key, that it has the necessary scopes."", 'type': 'invalid_request_error', 'param': None, 'code': 'missing_scope'}}",5,Retrieved: 1/1 expected sources,4,"Answer nêu đúng thay đổi SLA P1 từ 6 giờ xuống 4 giờ, khớp với Expected Answer. Tuy nhiên có thêm chi tiết về phiên bản và escalation không có trong Expected Answer, nhưng không làm sai ý chính.",baseline_dense
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?","Theo context từ [2], khi làm việc remote, bạn phải sử dụng VPN và được kết nối trên tối đa 2 thiết bị cùng lúc. [2]","Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",4,"Câu trả lời đúng về việc phải dùng VPN khi làm việc remote và giới hạn tối đa 2 thiết bị cùng lúc. Tuy nhiên, chi tiết gắn nhãn [2] và cách diễn đạt ""theo context từ [2]"" không có trong Context, chỉ là trích dẫn tự thêm.",5,"Câu trả lời trực tiếp nêu đúng yêu cầu: phải dùng VPN và tối đa 2 thiết bị, khớp hoàn toàn với câu hỏi.",5,Retrieved: 2/2 expected sources,,"Lỗi chấm điểm: Error code: 401 - {'error': {'message': ""You have insufficient permissions for this operation. Missing scopes: model.request. Check that you have the correct role in your organization (Reader, Writer, Owner) and project (Member, Owner), and if you're using a restricted API key, that it has the necessary scopes."", 'type': 'invalid_request_error', 'param': None, 'code': 'missing_scope'}}",baseline_dense
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,The products purchased in the Flash Sale program and activated cannot be refunded. [1],Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,Câu trả lời khớp trực tiếp với Context: hàng Flash Sale và sản phẩm đã được kích hoạt đều thuộc diện không được hoàn tiền.,5,Câu trả lời trực tiếp đúng trọng tâm câu hỏi: nêu rõ đơn hàng Flash Sale đã kích hoạt sản phẩm thì không được hoàn tiền.,5,Retrieved: 1/1 expected sources,,"Lỗi chấm điểm: Error code: 401 - {'error': {'message': ""You have insufficient permissions for this operation. Missing scopes: model.request. Check that you have the correct role in your organization (Reader, Writer, Owner) and project (Member, Owner), and if you're using a restricted API key, that it has the necessary scopes."", 'type': 'invalid_request_error', 'param': None, 'code': 'missing_scope'}}",baseline_dense
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu chọn nhận store credit thay vì hoàn tiền, bạn sẽ được 110% so với số tiền gốc [1].","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,Câu trả lời khớp hoàn toàn với Context: có store credit thay thế với giá trị 110% số tiền hoàn.,5,Câu trả lời trả lời trực tiếp đúng trọng tâm câu hỏi về tỷ lệ phần trăm store credit so với số tiền gốc.,5,Retrieved: 1/1 expected sources,5,Answer nêu đúng rằng store credit có giá trị 110% so với số tiền gốc và phù hợp với Expected Answer; không thiếu ý quan trọng nào.,baseline_dense
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?","Có, contractor từ bên ngoài công ty có thể được cấp quyền Admin Access. Yêu cầu cần 5 ngày để xử lý và cần phải hoàn thành training về chính sách securitypolicy. [3]","Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",2,"Context chỉ nói tài liệu áp dụng cho contractor, nhưng không cho thấy contractor có thể được cấp Admin Access. Phần 5 ngày xử lý và training security policy đúng với Level 4, nhưng việc khẳng định contractor được cấp quyền này là suy diễn ngoài ngữ cảnh.",5,"Trả lời trực tiếp đúng trọng tâm: xác nhận có thể cấp quyền, nêu rõ cần 5 ngày và có yêu cầu hoàn thành training security policy.",5,Retrieved: 1/1 expected sources,4,"Answer nêu đúng rằng contractor có thể được cấp Admin Access, thời gian xử lý 5 ngày và có yêu cầu training về security policy. Tuy nhiên, Answer chưa đề cập việc quy trình áp dụng cho contractor/third-party vendor theo SOP và thiếu chi tiết phê duyệt từ IT Manager và CISO.",baseline_dense
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","The on-call engineer can temporarily grant permissions using Section 4 in the it/access-control-sop.md document. [1] 

Quy trình cấp quyền tạm thời cụ thể như sau:
1. On-call IT Admin sẽ cấp quyền khi được Tech Lead phê duyệt bằng lời.
2. Quyền tạm thời có thể đến từ 1-24 giờ tùy thuộc vào mức độ khẩn cấp.
3. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit.

Quyền này tồn tại tối đa 24 giờ, sau đó cần chuyển sang ticket chính thức hoặc tự động thu hồi.","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",2,"Phần lớn ý chính khớp Context (cấp quyền tạm thời bởi On-call IT Admin, cần Tech Lead phê duyệt, tối đa 24 giờ, phải log Security Audit). Tuy nhiên câu mở đầu bịa thêm tham chiếu tài liệu 'Section 4 in the it/access-control-sop.md', và chi tiết '1-24 giờ' không có trong Context (Context chỉ nói tối đa 24 giờ).",5,Trả lời trực tiếp đúng trọng tâm: nêu quy trình cấp quyền tạm thời khi xảy ra incident P1 và thời hạn tồn tại tối đa của quyền (24 giờ).,5,Retrieved: 2/2 expected sources,,"Lỗi chấm điểm: Error code: 401 - {'error': {'message': ""You have insufficient permissions for this operation. Missing scopes: model.request. Check that you have the correct role in your organization (Reader, Writer, Owner) and project (Member, Owner), and if you're using a restricted API key, that it has the necessary scopes."", 'type': 'invalid_request_error', 'param': None, 'code': 'missing_scope'}}",baseline_dense
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Tôi không biết [1].,"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",5,"Câu trả lời chỉ nói không biết, không đưa thêm thông tin nào vượt quá hay mâu thuẫn với ngữ cảnh.",1,"Câu trả lời không cung cấp thông tin về mức phạt khi team IT vi phạm SLA P1, chỉ nói không biết.",,No expected sources,1,"Answer không nêu được nội dung chính của Expected Answer là tài liệu không quy định mức phạt/penalty cho vi phạm SLA P1, mà chỉ nói không biết.",baseline_dense
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Theo chính sách [1], nhân viên phải báo trước ít nhất 3 ngày làm việc để xin nghỉ phép năm. Con số này không giống với số ngày cần giấy tờ khi nghỉ ốm, mà thời gian thông báo cho nghỉ ốm là trước 9:00 sáng ngày nghỉ [2].",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,4,"Answer nhìn chung đúng và đều có trong Context: nghỉ phép năm phải gửi trước ít nhất 3 ngày làm việc, nghỉ ốm phải báo trước 9:00 sáng. Tuy nhiên câu ‘không giống với số ngày cần giấy tờ khi nghỉ ốm’ diễn đạt hơi suy diễn vì Context không nói như vậy trực tiếp.",5,Trả lời trực tiếp đúng cả hai ý: số ngày báo trước để xin nghỉ phép năm và so sánh với quy định khi nghỉ ốm.,5,Retrieved: 1/1 expected sources,4,"Answer nêu đúng nghỉ phép năm phải báo trước ít nhất 3 ngày làm việc. Tuy nhiên phần về nghỉ ốm bị sai/không khớp Expected Answer: đáp án lý tưởng nói chỉ cần giấy tờ y tế nếu nghỉ trên 3 ngày liên tiếp, còn Answer lại nói về thời hạn thông báo trước 9:00 sáng ngày nghỉ. Vì thiếu và lệch một ý quan trọng, chưa đạt mức đầy đủ tối đa.",baseline_dense
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?",Mật khẩu tài khoản công ty cần đổi định kỳ. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn và sau đó đi qua phần mềm SSO [1].,"Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",4,"Phần lớn đúng: Context xác nhận mật khẩu phải đổi mỗi 90 ngày và hệ thống nhắc 7 ngày trước khi hết hạn. Chi tiết “đi qua phần mềm SSO” không được nêu rõ trong Context, nhưng không mâu thuẫn trực tiếp.",5,"Trả lời trực tiếp đúng trọng tâm: có đổi định kỳ, nêu rõ thời gian nhắc trước 7 ngày và đổi qua phần mềm SSO.",5,Retrieved: 1/1 expected sources,3,"Answer nêu đúng việc cần đổi định kỳ và nhắc trước 7 ngày, nhưng thiếu ý quan trọng về chu kỳ 90 ngày và không cung cấp đúng cách đổi mật khẩu (URL/helpdesk cụ thể).",baseline_dense
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,"Không, chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026. Theo [1], các đơn hàng đặt trước ngày 01/02/2026 sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.",Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,"Câu trả lời khớp hoàn toàn với Context: đơn hàng đặt trước ngày 01/02/2026 sẽ áp dụng chính sách hoàn tiền phiên bản 3, nên chính sách hiện tại không áp dụng cho các đơn hàng đó.",5,Trả lời trực tiếp đúng trọng tâm câu hỏi về việc chính sách hoàn tiền hiện tại có áp dụng cho đơn hàng trước 01/02/2026 hay không.,5,Retrieved: 1/1 expected sources,5,"Answer nêu đúng rằng chính sách hiện tại không áp dụng cho đơn hàng đặt trước 01/02/2026 và các đơn hàng này áp dụng phiên bản 3, khớp đầy đủ với Expected Answer.",baseline_dense
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,"SLA xử lý ticket P1 đã thay đổi từ v2025.1 sang v2026.1 [1]. Trong phiên bản mới:

- Thời gian phản hồi ban đầu và xử lý/c khắc phục đã được giảm.
- Thêm quy trình escalation tự động.

Quy trình xử lý vẫn giữ nguyên.","Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",4,"Câu trả lời nhìn chung đúng và có bằng chứng: v2026.1 cập nhật SLA P1 resolution từ 6 giờ xuống 4 giờ, và v2025.3 thêm quy trình escalation tự động. Tuy nhiên chi tiết ""thời gian phản hồi ban đầu... đã được giảm"" không được nêu rõ trong Context, nên có một suy luận nhỏ.",4,"Câu trả lời trực tiếp nêu sự thay đổi SLA của ticket P1 so với phiên bản trước và đi đúng trọng tâm, nhưng còn khá chung chung, thiếu số liệu/cụ thể về thay đổi.",5,Retrieved: 1/1 expected sources,3,"Answer nêu rằng SLA P1 đã thay đổi giữa các phiên bản và có giảm thời gian xử lý, nhưng không chỉ rõ mức thay đổi cốt lõi từ 6 giờ xuống 4 giờ. Ngoài ra còn thêm chi tiết về escalation tự động không có trong Expected Answer và mốc phiên bản cũng không khớp.",variant_hybrid_rerank
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?",The maximum number of devices a user can connect to via VPN when working remotely is 2. [2],"Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,Câu trả lời khớp hoàn toàn với Context: mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc.,,"Lỗi chấm điểm: Error code: 401 - {'error': {'message': ""You have insufficient permissions for this operation. Missing scopes: model.request. Check that you have the correct role in your organization (Reader, Writer, Owner) and project (Member, Owner), and if you're using a restricted API key, that it has the necessary scopes."", 'type': 'invalid_request_error', 'param': None, 'code': 'missing_scope'}}",5,Retrieved: 2/2 expected sources,5,"Câu trả lời nêu đúng số lượng tối đa là 2 thiết bị, khớp với ý chính trong Expected Answer về giới hạn kết nối VPN khi làm việc remote.",variant_hybrid_rerank
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,"Không, đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm không được hoàn tiền. Điều này nằm trong ngoại lệ không được hoàn tiền [1].",Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,Câu trả lời khớp hoàn toàn với Context: Flash Sale và sản phẩm đã kích hoạt đều thuộc các ngoại lệ không được hoàn tiền.,5,"Câu trả lời trực tiếp nêu đúng trọng tâm câu hỏi: đơn Flash Sale đã kích hoạt sản phẩm có được hoàn tiền hay không, và trả lời rõ là không.",5,Retrieved: 1/1 expected sources,5,"Answer nêu đúng kết luận không được hoàn tiền và chỉ ra đây là trường hợp ngoại lệ, khớp đầy đủ với Expected Answer.",variant_hybrid_rerank
